Fleet No,Operational Status,LFB,Make,Model,Type of Vehicle,Vehicle Category,Reg Year,Vehicle Life
DPL168,ACTIVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL169,ACTIVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL170,ACTIVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL171,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL172,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL173,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL174,ACTIVE,LFB,Mercedes Benz,Atego ,Pumping Appliance,N3,2017,12
DPL175,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL176,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL177,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL178,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL179,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL180,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL181,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL182,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL183,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL184,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL185,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL186,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL187,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL188,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL189,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL190,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3 ,2017,12
DPL191,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL192,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL193,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL194,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL195,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL196,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL197,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL198,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL199,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL200,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL201,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL202,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL203,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL204,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL205,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL206,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL207,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL208,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL209,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL210,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL211,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL212,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL213,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL214,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL215,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL216,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL217,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL218,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL219,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL220,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL221,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL222,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL223,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL224,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL225,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL226,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL227,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL228,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL229,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL230,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL231,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL232,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL233,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL234,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL235,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL237,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL238,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL239,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL240,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL241,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL242,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL243,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL244,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL245,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL246,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL247,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL248,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL249,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL250,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL251,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL252,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL253,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL254,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL255,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL256,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL257,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL258,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL259,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL260,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL261,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL262,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL263,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL264,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL265,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL266,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL267,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL268,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL269,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL270,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL271,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL272,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL273,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL274,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL275,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL276,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL277,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL278,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL279,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL280,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL281,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL282,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL283,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL284,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL285,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL286,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL287,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL333,TRAINING,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
FID2,ACTIVE,LFB,Vauxhall,Vivaro,Fire Investigation Dog Van,N1,2010,7
FID3,ACTIVE,LFB,Ford,Transit Custom 310 Trend L2 M ,Fire Investigation Dog Van,N1,2018,7
FireDart,ACTIVE,LFB,Alnmaritec,Landing Craft,FireBoat,Vessel,2001,20
Fireflash,RESERVE,LFB,Alnmaritec,Landing Craft,FireBoat,Vessel,2001,20
FIV7,ACTIVE,LFB,Ford,Transit Custom 310 Trend L2 ,Fire Investigation Unit,N1,2018,7
FIV8,ACTIVE,LFB,Ford,Transit Custom 310 Trend L2 M ,Fire Investigation Unit,N1,2018,7
